img_path,label
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_11/25.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_22/200.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_22/30.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_8/65.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_21/190.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_15/35.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_17/55.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_21/235.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_3/35.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_5/85.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_20/35.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_9/105.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_9/80.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_22/110.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_11/15.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_15/140.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_19/85.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_18/150.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_10/145.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_18/5.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_4/90.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_21/195.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_22/220.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_22/105.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_14/10.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_4/50.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_21/15.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_21/105.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_10/50.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_2/130.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_10/150.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_6/155.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_6/65.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_18/65.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_8/135.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_1/145.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_15/20.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_21/20.png,1
/workspace/DS/Datas/FAS/SiW-Mv2/official/spoof/Makeup_Obfuscation/Makeup_Ob_8/75.png,1
